"Gene.Symbol","logFC","FC","AveExpr","t","pvalue"
"1700012D14Rik",2.167582828,4.493,0.598510682,3.394589999,0.002887962
"Mettl27",1.926506328,3.801,-0.160668155,2.69915094,0.013831243
"Nnat",1.777208697,3.428,2.115931438,2.533610867,0.019792836
"Slc38a1",1.727687972,3.312,0.526812539,2.361543735,0.028494346
"Apln",1.414082396,2.665,0.560568804,2.452251767,0.023540438
"Gipc3",1.320444052,2.497,0.775063668,2.140676478,0.044850195
"Apol10b",1.296470269,2.456,1.190365363,2.739593187,0.012658515
"Apobec1",1.291461214,2.448,0.614258206,2.182140064,0.041243176
"Kcnk2",1.270715653,2.413,0.660327638,2.676777096,0.014523641
"Tal1",1.254185617,2.385,1.104872707,2.6398412,0.01573909
"Fancl",1.215295048,2.322,0.658252958,2.272558518,0.034277828
"Pcsk4",1.200424131,2.298,0.630210675,2.102812689,0.04839165
"Msx1",1.192510259,2.286,1.021797144,2.512081,0.020726055
"Plcg2",1.169477058,2.249,1.083251731,2.864257108,0.009610909
"Dram1",1.141440295,2.206,1.080507788,2.324507253,0.030782213
"Cx3cl1",1.117963223,2.17,0.598879523,2.151005256,0.043925814
"Gm42432",1.082614416,2.118,0.609462879,2.350211562,0.029177087
"Stum",1.080604664,2.115,0.938619956,3.1295033,0.005295276
"E530011L22Rik",1.07609685,2.108,0.626761808,2.398358245,0.026377221
"Fads3",1.060869615,2.086,2.697309417,2.193675967,0.040287724
"Gm17251",1.031828647,2.045,1.605686634,3.494725734,0.002292216
"Meis1",1.028904268,2.04,1.934672542,2.601284858,0.01711016
"Slc27a3",1.020803462,2.029,0.794791607,2.13376322,0.045478727
"Gm14410",1.00857547,2.012,0.931303523,2.274369223,0.034150082
"AI854703",1.00457881,2.006,0.799615872,2.224916315,0.037800824
"Lepr",0.994752594,1.993,1.70997796,2.301069032,0.032316536
"Hmcn1",0.991126157,1.988,1.561613111,2.528326385,0.02001817
"Zfp868",0.988057707,1.984,1.778131324,3.07300744,0.006018187
"Plk2",0.981101498,1.974,2.82039819,3.774212803,0.001198135
"Wdpcp",0.978850369,1.971,0.888695549,2.235208782,0.037012764
"Mcm8",0.969174792,1.958,1.246067356,2.508372171,0.020890925
"Hspa1b",0.968253732,1.956,1.229709305,2.89693933,0.008936543
"Cuzd1",0.968184294,1.956,1.087189023,2.453992382,0.023453745
"Gm21970",0.957611979,1.942,1.119897476,2.238513192,0.036762966
"Btnl9",0.939685886,1.918,2.028801858,2.789805205,0.011333932
"Gm37090",0.917673129,1.889,1.593682155,2.235674581,0.036977458
"Meox1",0.916981962,1.888,1.289710224,2.332589404,0.030268927
"Prmt2",0.899796348,1.866,1.714590811,2.432831592,0.024528164
"Glt8d2",0.876784489,1.836,1.069337513,2.424090341,0.024985243
"Fzd6",0.867489837,1.824,2.133009841,3.794499292,0.001142839
"Primpol",0.864646218,1.821,1.037115933,2.439790622,0.024169862
"Cep135",0.864170095,1.82,1.432120601,2.157768442,0.043329948
"Foxc1",0.864137987,1.82,1.197336252,2.089265685,0.049718897
"Baiap2",0.857249673,1.812,2.092210847,2.731158772,0.012895002
"Papln",0.838384554,1.788,1.755782412,2.799541971,0.011092872
"Nrarp",0.82746021,1.775,2.728207963,2.737881844,0.012706162
"Hdgfl3",0.822182248,1.768,1.339910223,2.480238004,0.022182189
"Srgn",0.815395071,1.76,2.42391357,3.678639184,0.001496506
"Thg1l",0.796534062,1.737,1.641678284,2.658947853,0.015098802
"Zfp874a",0.794149639,1.734,1.843266634,2.951917819,0.007903426
"5031434O11Rik",0.792889215,1.733,1.248377371,2.37778769,0.02754147
"Pitpnm1",0.787432362,1.726,2.032738254,3.217059367,0.00433863
"Plxnb1",0.784714022,1.723,1.621386107,2.576148183,0.018063914
"Mgat5",0.78458207,1.723,1.308764979,2.252636873,0.035712602
"BC048679",0.783219333,1.721,2.154210616,2.505211631,0.021032391
"Paxx",0.781297421,1.719,2.265158755,2.778413561,0.011622311
"Dipk2a",0.776786117,1.713,1.919484238,2.66218473,0.014992804
"Trp53i11",0.773850905,1.71,2.561190114,2.619148928,0.016461449
"Casp8",0.769318729,1.704,1.212880673,2.27749432,0.033930633
"Pla2g15",0.763067986,1.697,2.381060811,3.158445351,0.004958337
"Il17rd",0.760328647,1.694,2.775516924,3.178430067,0.004737941
"Ints2",0.758603573,1.692,1.823610018,2.340250927,0.02978967
"Mndal",0.752289172,1.684,2.550755862,2.147910573,0.044200943
"Efs",0.751603264,1.684,1.048273777,2.096694775,0.048987029
"Slx4ip",0.751298609,1.683,1.929998339,2.970409229,0.007582542
"Gpnmb",0.748639667,1.68,2.534111562,2.188932398,0.040678135
"D130017N08Rik",0.730254124,1.659,1.717025419,2.097342561,0.048923677
"Pde3a",0.727873435,1.656,1.951088857,2.806949563,0.010912766
"Rnf215",0.722190072,1.65,2.562277533,2.930492427,0.008291585
"Ctdspl2",0.718446424,1.645,1.820880162,2.521859848,0.020297184
"Hoxa11os",0.711598751,1.638,1.451867449,2.212029164,0.038809192
"Rab34",0.709196754,1.635,1.77737454,2.19602835,0.040095385
"Akna",0.708553368,1.634,2.005367625,2.106015307,0.048082595
"9430038I01Rik",0.70635909,1.632,1.674345329,2.310951848,0.031661178
"Gm14295",0.704962192,1.63,2.458065189,3.031692452,0.006606458
"Ppp2r1b",0.703505604,1.628,1.761497676,2.566731694,0.018433929
"AL732309",0.702116146,1.627,1.977640316,2.454259321,0.023440477
"Alg8",0.701288607,1.626,1.263553056,2.10338703,0.048336094
"Inpp5f",0.690991969,1.614,2.117625259,2.668706742,0.014781365
"Angpt1",0.67611459,1.598,3.826677664,2.843615406,0.010061689
"Ntrk2",0.675438073,1.597,3.117603136,2.20345475,0.039493665
"Maml3",0.674888559,1.596,2.449059568,2.683039595,0.014326592
"Pik3c2a",0.674841976,1.596,2.340686795,2.328049544,0.030556265
"Slc25a34",0.669498949,1.591,4.279174282,2.216083768,0.038489315
"Gm49776",0.664148394,1.585,2.656412931,4.067220458,0.000604864
"Fam13a",0.663569912,1.584,3.886659523,3.041958451,0.006455292
"E130317F20Rik",0.658372027,1.578,1.830078458,2.36078381,0.028539663
"C77080",0.657822033,1.578,1.974335364,2.140050683,0.044906764
"Pcdh19",0.657309928,1.577,2.450751866,2.627644661,0.016161154
"Rbak",0.656737841,1.577,2.348620047,2.957018061,0.007813637
"Gm34934",0.655934375,1.576,1.541244417,2.366902969,0.028176644
"Zfp938",0.654813668,1.574,1.739227346,2.703161437,0.01371049
"Klhl25",0.650204778,1.569,2.098158798,2.183173685,0.041156732
"Homez",0.637777902,1.556,1.825327986,2.088107111,0.049833918
"Cldn5",0.637384564,1.556,2.6438919,3.062880721,0.006157503
"Inpp4b",0.634677087,1.553,3.384893102,2.183750754,0.041108543
"C2",0.634643091,1.553,1.781671031,2.2468805,0.036137329
"Rasa2",0.633996621,1.552,2.276042318,2.298167775,0.032511288
"Arhgef28",0.633968349,1.552,2.456225642,2.33917841,0.029856335
"Neurl1b",0.633865995,1.552,2.42859585,2.795443725,0.011193732
"Cntnap1",0.6275707,1.545,1.834966434,2.255843185,0.035478019
"Acot2",0.627346184,1.545,4.523170315,2.309547394,0.031753559
"Tasor2",0.620599872,1.538,3.42667992,3.147138129,0.005087418
"Arrdc4",0.619395151,1.536,2.624513155,2.268559079,0.03456155
"Grk5",0.61730729,1.534,2.176600612,2.578056917,0.017989769
"Slc52a2",0.614829113,1.531,2.039773048,2.565746937,0.018473034
"Gpat3",0.611412558,1.528,2.249708655,2.118960728,0.046851455
"Myo1d",0.60764292,1.524,3.543761415,2.678592704,0.01446625
"Gm17354",0.603221643,1.519,1.780039974,2.164716136,0.042725487
"Xrcc4",0.602454057,1.518,2.244660089,2.46354924,0.022983048
"Acad10",0.600875082,1.517,2.737006713,2.336822827,0.030003237
"Dusp19",0.597104062,1.513,2.604133738,2.476035629,0.022381357
"4933431E20Rik",0.595728628,1.511,2.195419603,2.68671787,0.014212041
"Chst15",0.594151306,1.51,2.379242053,2.294521464,0.032757587
"Zfp729a",0.591012508,1.506,2.321938119,2.330420186,0.030405909
"Cmtm4",0.590123009,1.505,3.684025945,2.968566264,0.007613951
"Tcf7l2",0.590013795,1.505,2.585823804,2.595563832,0.017322963
"1300002E11Rik",0.589068325,1.504,2.076900232,2.467958441,0.022768873
"Hhipl1",0.584849328,1.5,2.587581338,2.433783483,0.024478863
"Ro60",0.580865776,1.496,2.26277143,2.133782605,0.045476953
"Map3k14",0.580651047,1.496,2.543830618,2.338927491,0.029871951
"Supt3",0.577876276,1.493,2.95174006,2.523494811,0.020226297
"Nos3",0.577047042,1.492,3.878298489,3.148912446,0.005066949
"Nr1d1",0.575895048,1.491,6.289406933,2.412292583,0.025614732
"Trnau1ap",0.574961717,1.49,2.600957645,2.109697432,0.047729472
"Erlin1",0.573678432,1.488,2.596628178,2.373318737,0.02780063
"Zfp64",0.572994253,1.488,2.874010711,2.3238101,0.030826863
"Tigd4",0.572739238,1.487,3.617432124,2.326674847,0.030643769
"Zbtb21",0.570552686,1.485,2.854378204,2.679409045,0.014440516
"Bet1l",0.570276517,1.485,2.451571581,2.131313123,0.045703392
"Itpkc",0.569211066,1.484,2.471401164,2.172261384,0.042077734
"Papss1",0.567426242,1.482,2.682258155,2.829380998,0.010384265
"Fabp3",0.564380931,1.479,7.793583957,2.720245341,0.013207239
"Mospd3",0.562749379,1.477,3.137256485,3.150350157,0.005050422
"Gm26722",0.561782724,1.476,2.482875003,2.187182446,0.040823031
"Trmu",0.560398818,1.475,2.629099423,2.4108757,0.025691317
"Apbb1",0.559073687,1.473,3.034217753,2.700078982,0.013803211
"Atm",0.559042539,1.473,3.507813871,3.117290456,0.005444035
"Slc26a11",0.55897388,1.473,2.230358691,2.447739045,0.023766592
"Zfp963",0.556377795,1.471,2.110634965,2.49688585,0.021409363
"Gbp4",0.553421998,1.468,2.796626954,2.272758717,0.034263683
"Zfp112",0.550896331,1.465,3.114093825,2.995633608,0.007165007
"Zfp113",0.549352539,1.463,2.298117035,2.282451909,0.033585163
"Rfx5",0.547941297,1.462,3.032673542,2.529259685,0.019978199
"Ppp1r18",0.537968002,1.452,3.326431855,3.330950491,0.003342995
"Zfp292",0.536620119,1.451,3.794610863,2.517427521,0.020490531
"Tril",0.535764751,1.45,2.25502766,2.139901503,0.044920259
"Casp9",0.535091619,1.449,2.304628054,2.090082357,0.049637964
"Parp10",0.528720494,1.443,2.762812632,2.426806054,0.024842396
"Malt1",0.525818023,1.44,2.542424755,2.33496005,0.030119878
"Slc12a7",0.525149057,1.439,3.47288072,2.985430837,0.007331149
"Ccdc28a",0.524737546,1.439,2.23260345,2.226012871,0.03771614
"Tspan4",0.524330412,1.438,3.659921027,2.728589525,0.012967871
"Braf",0.522982953,1.437,3.604625528,2.296224683,0.032642326
"Ovgp1",0.521601422,1.436,2.204606981,2.343869701,0.029565751
"Zbtb14",0.518674039,1.433,3.468366227,3.114999315,0.005472391
"Snx10",0.517754529,1.432,2.691927839,2.108444749,0.047849343
"Arid3a",0.511157115,1.425,2.116092202,2.242891954,0.036434331
"Rbm12",0.508427084,1.422,2.675623624,2.239762503,0.036668927
"Ranbp1",0.506418493,1.421,3.560563054,3.167401094,0.004858365
"Egfl7",0.50641731,1.421,4.850173869,3.12757821,0.00531846
"Adar",0.505917276,1.42,2.869421892,2.14083049,0.044836283
"Cpne3",0.503755353,1.418,3.331394659,2.406661536,0.025920361
"Auts2",0.500412402,1.415,3.783172162,2.140092825,0.044902953
"Efnb2",0.499799554,1.414,3.285034423,2.323604764,0.030840025
"Pusl1",0.497081874,1.411,2.843408436,2.735613677,0.012769575
"Cpsf6",0.495513352,1.41,4.160615907,2.769113619,0.011862917
"Khnyn",0.494646153,1.409,3.993080603,2.711498234,0.013462673
"Dvl2",0.492720705,1.407,2.769728645,2.320351272,0.031049272
"Zfp120",0.488098615,1.403,3.166577367,2.508542241,0.020883338
"Tmem9",0.487199521,1.402,2.844228144,2.092268435,0.049421905
"Cdc42se1",0.486504201,1.401,3.953919818,3.005337276,0.007010368
"Arhgap1",0.485088404,1.4,2.967558826,2.16704668,0.04252445
"Kcng4",-0.501059952,-1.415,4.498594482,-2.220408615,0.038150776
"Pigg",-0.50245883,-1.417,2.923426733,-2.361485576,0.028497811
"Dapk1",-0.513335831,-1.427,2.397331116,-2.18164405,0.041284717
"Prorsd1",-0.5616542,-1.476,2.973667538,-2.702472711,0.013731156
"Nsdhl",-0.640017372,-1.558,2.189075572,-2.672729434,0.014652365
"Rab4b",-0.650885777,-1.57,2.312083697,-2.348264165,0.029295928
"Cep76",-0.650922667,-1.57,2.93346781,-3.617898376,0.001723238
"C030037D09Rik",-0.65383737,-1.573,1.633048038,-2.139687894,0.044939589
"Gm26899",-0.668297682,-1.589,1.531531927,-2.120220807,0.046733155
"Nfkbia",-0.668922852,-1.59,5.199399014,-2.222058963,0.03802231
"Teddm2",-0.672252213,-1.594,1.851500282,-2.214266764,0.038632363
"Gm21983",-0.700531023,-1.625,2.106548131,-2.298284048,0.032503463
"Nup35",-0.716208672,-1.643,1.725030202,-2.554696047,0.018917255
"Gm37759",-0.727493436,-1.656,1.733224843,-2.088623778,0.049782595
"Lamb3",-0.728160923,-1.657,1.770928456,-2.632555607,0.015989939
"Accs",-0.730584536,-1.659,1.627337038,-2.232489963,0.03721946
"Mt2",-0.735779586,-1.665,3.752574615,-2.645601155,0.01554341
"Zfp653",-0.763082276,-1.697,2.568262521,-2.490539851,0.021700935
"Mettl21e",-0.791791628,-1.731,2.93052493,-3.053749932,0.00628579
"Map2k3os",-0.804584689,-1.747,2.048473451,-2.089533533,0.04969234
"Cdh4",-0.813949235,-1.758,3.970575766,-2.129937902,0.045829935
"Folr2",-0.875632271,-1.835,1.764786717,-2.246524307,0.036163762
"Cep128",-0.881691489,-1.843,0.628303126,-2.432807765,0.024529399
"Coprs",-0.881950006,-1.843,1.432878814,-2.337521809,0.029959576
"Sbk3",-0.935045974,-1.912,1.438556834,-2.859306297,0.009717228
"Snph",-0.941184137,-1.92,1.72592216,-2.707061929,0.013594011
"Smim4",-0.945302861,-1.926,1.35961916,-2.565009689,0.018502361
"Slc45a3",-0.992863354,-1.99,1.289993477,-2.571986214,0.018226585
"Npc1l1",-1.021096405,-2.029,0.224597119,-2.23494362,0.037032877
"Myh6",-1.031924164,-2.045,1.892664161,-2.943257172,0.008058175
"Mettl25",-1.033053607,-2.046,0.947983837,-2.679287351,0.01444435
"Depp1",-1.051842823,-2.073,3.246129794,-2.348680349,0.029270493
"Odf3l2",-1.183479889,-2.271,5.267814411,-2.162379478,0.042927919
"Arl6",-1.193727353,-2.287,0.734606818,-2.758509874,0.012143048
"Gm45221",-1.227081599,-2.341,0.742780397,-2.169517668,0.042312238
"Ifit1",-1.452011522,-2.736,0.934816059,-2.366791408,0.028183224
"C130080G10Rik",-1.518940954,-2.866,0.788945885,-2.546340501,0.019259778
